Course Name,Category,Level,Duration,Eligibility,Future Scope
BPT,Medical,12th,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BOT,Medical,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nursing,Medical,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BPharm,Medical,10th,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
PharmD,Medical,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Radiology,Medical,12th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Medical Lab Technology,Medical,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Dialysis Technology,Medical,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Optometry,Medical,10th,1 Year,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Cardiac Technology,Medical,12th,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Respiratory Therapy,Medical,12th,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Anesthesia Technology,Medical,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Nutrition and Dietetics,Medical,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Public Health,Medical,Undergraduate,3 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Biotechnology,Medical,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
BSc Microbiology,Medical,12th,2 Years,10+2 with relevant subjects,Career opportunities in Medical related industries
Computer Science Engineering,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Information Technology,Engineering,Undergraduate,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence,Engineering,Postgraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Artificial Intelligence & Machine Learning,Engineering,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Data Science,Engineering,Diploma,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cyber Security,Engineering,Diploma,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Software Engineering,Engineering,Diploma,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Cloud Computing,Engineering,Postgraduate,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Internet of Things,Engineering,Diploma,2 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechanical Engineering,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Civil Engineering,Engineering,Diploma,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical Engineering,Engineering,Undergraduate,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electrical & Electronics Engineering,Engineering,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Electronics & Communication Engineering,Engineering,12th,1 Year,10+2 with relevant subjects,Career opportunities in Engineering related industries
Chemical Engineering,Engineering,10th,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aerospace Engineering,Engineering,Postgraduate,4 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Aeronautical Engineering,Engineering,Postgraduate,3 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Automobile Engineering,Engineering,12th,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Robotics Engineering,Engineering,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
Mechatronics Engineering,Engineering,Undergraduate,5 Years,10+2 with relevant subjects,Career opportunities in Engineering related industries
